

0,0.0,0.0,0.0,0.0,0.076
1,0.0,0.0,0.0,0.0020,0.346
2,0.0,0.0,0.0,0.058,0.336
3,0.0,0.0020,0.016,0.11,0.126
4,0.0020,0.0060,0.014,0.134,0.058
5,0.0,0.0060,0.042,0.156,0.026
6,0.014,0.018,0.064,0.18,0.022
7,0.0040,0.026,0.104,0.112,0.0040
8,0.014,0.038,0.096,0.076,0.0
9,0.018,0.046,0.112,0.05,0.0060
10,0.042,0.062,0.11,0.038,0.0
11,0.056,0.06,0.118,0.026,0.0
12,0.04,0.088,0.088,0.024,0.0
13,0.056,0.088,0.056,0.0080,0.0
14,0.05,0.094,0.054,0.012,0.0
15,0.062,0.074,0.036,0.0080,0.0
16,0.07,0.074,0.03,0.0,0.0
17,0.048,0.084,0.014,0.0020,0.0
18,0.05,0.054,0.018,0.0040,0.0
19,0.046,0.036,0.0080,0.0,0.0
20,0.062,0.028,0.0080,0.0,0.0
21,0.05,0.036,0.0080,0.0,0.0
22,0.038,0.024,0.0040,0.0,0.0
23,0.05,0.024,0.0,0.0,0.0
24,0.03,0.0040,0.0,0.0,0.0
25,0.03,0.0080,0.0,0.0,0.0
26,0.032,0.0060,0.0,0.0,0.0
27,0.024,0.0,0.0,0.0,0.0
28,0.02,0.0040,0.0,0.0,0.0
29,0.012,0.0040,0.0,0.0,0.0
30,0.0060,0.0020,0.0,0.0,0.0
31,0.012,0.0,0.0,0.0,0.0
32,0.01,0.0,0.0,0.0,0.0
33,0.0080,0.0020,0.0,0.0,0.0
34,0.0020,0.0,0.0,0.0,0.0
35,0.01,0.0,0.0,0.0,0.0
36,0.016,0.0020,0.0,0.0,0.0
37,0.0060,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0040,0.0,0.0,0.0,0.0
41,0.0060,0.0,0.0,0.0,0.0

0,0.0020,0.01,0.064,0.17,0.47
1,0.0,0.0,0.0,0.024,0.0040
2,0.0,0.0,0.0,0.034,0.0
3,0.0,0.0020,0.014,0.024,0.026
4,0.0020,0.0040,0.01,0.028,0.026
5,0.0,0.0060,0.028,0.032,0.04
6,0.0,0.024,0.046,0.026,0.022
7,0.0020,0.0080,0.054,0.026,0.032
8,0.0020,0.0080,0.042,0.026,0.0
9,0.0020,0.02,0.04,0.032,0.38
10,0.0080,0.052,0.034,0.028,0.0
11,0.012,0.048,0.036,0.026,0.0
12,0.016,0.048,0.034,0.016,0.0
13,0.026,0.054,0.028,0.028,0.0
14,0.036,0.036,0.064,0.018,0.0
15,0.04,0.052,0.032,0.068,0.0
16,0.052,0.052,0.028,0.0,0.0
17,0.056,0.048,0.036,0.02,0.0
18,0.07,0.042,0.042,0.374,0.0
19,0.038,0.052,0.03,0.0,0.0
20,0.054,0.05,0.062,0.0,0.0
21,0.052,0.042,0.032,0.0,0.0
22,0.062,0.024,0.244,0.0,0.0
23,0.05,0.026,0.0,0.0,0.0
24,0.05,0.026,0.0,0.0,0.0
25,0.044,0.038,0.0,0.0,0.0
26,0.032,0.058,0.0,0.0,0.0
27,0.034,0.0,0.0,0.0,0.0
28,0.04,0.01,0.0,0.0,0.0
29,0.032,0.02,0.0,0.0,0.0
30,0.034,0.068,0.0,0.0,0.0
31,0.026,0.0,0.0,0.0,0.0
32,0.03,0.0,0.0,0.0,0.0
